Partner,Province,District,Health Facility,DATIM_code,SISMA_code,Type,Period,attribute,value,indicator
ARIEL,Cabo Delgado,Ancuabe,Ancuabe CS I,TzPwGs1AcCL,1020206,ER_P2,2021-04-20,TX_CURR_TPT_Com,437,TPT Completed
ARIEL,Cabo Delgado,Ancuabe,Ancuabe CS I,TzPwGs1AcCL,1020206,ER_P2,2021-04-20,TX_CURR_TB_tto,26,Recent Active TB TX
ARIEL,Cabo Delgado,Ancuabe,Ancuabe CS I,TzPwGs1AcCL,1020206,ER_P2,2021-04-20,TX_CURR_TPT_Not_Comp_POS_Screen,8,Recent Pos TB Screen
ARIEL,Cabo Delgado,Ancuabe,Ancuabe CS I,TzPwGs1AcCL,1020206,ER_P2,2021-04-20,TX_CURR_W_TPT_last7Mo,302,Actively on TPT
ARIEL,Cabo Delgado,Ancuabe,Ancuabe CS I,TzPwGs1AcCL,1020206,ER_P2,2021-04-20,TX_CURTot,1668,TX_CURR
ARIEL,Cabo Delgado,Ancuabe,Ancuabe CS I,TzPwGs1AcCL,1020206,ER_P2,2021-04-20,TPT_candidates,895,TPT Candidates
ARIEL,Cabo Delgado,Ancuabe,Ancuabe CS I,TzPwGs1AcCL,1020206,ER_P2,2021-04-20,TPT_ineligible,34,TPT Ineligible
ARIEL,Cabo Delgado,Ancuabe,Mariri PS,qHaaYvuNGIB,1020207,ER_P3,2021-04-20,TX_CURR_TPT_Com,154,TPT Completed
ARIEL,Cabo Delgado,Ancuabe,Mariri PS,qHaaYvuNGIB,1020207,ER_P3,2021-04-20,TX_CURR_TB_tto,7,Recent Active TB TX
ARIEL,Cabo Delgado,Ancuabe,Mariri PS,qHaaYvuNGIB,1020207,ER_P3,2021-04-20,TX_CURR_TPT_Not_Comp_POS_Screen,2,Recent Pos TB Screen
ARIEL,Cabo Delgado,Ancuabe,Mariri PS,qHaaYvuNGIB,1020207,ER_P3,2021-04-20,TX_CURR_W_TPT_last7Mo,131,Actively on TPT
ARIEL,Cabo Delgado,Ancuabe,Mariri PS,qHaaYvuNGIB,1020207,ER_P3,2021-04-20,TX_CURTot,786,TX_CURR
ARIEL,Cabo Delgado,Ancuabe,Mariri PS,qHaaYvuNGIB,1020207,ER_P3,2021-04-20,TPT_candidates,492,TPT Candidates
ARIEL,Cabo Delgado,Ancuabe,Mariri PS,qHaaYvuNGIB,1020207,ER_P3,2021-04-20,TPT_ineligible,9,TPT Ineligible
ARIEL,Cabo Delgado,Ancuabe,Metoro CS III,CoySgwRgeRE,1020209,ER_P2,2021-04-20,TX_CURR_TPT_Com,574,TPT Completed
ARIEL,Cabo Delgado,Ancuabe,Metoro CS III,CoySgwRgeRE,1020209,ER_P2,2021-04-20,TX_CURR_TB_tto,53,Recent Active TB TX
ARIEL,Cabo Delgado,Ancuabe,Metoro CS III,CoySgwRgeRE,1020209,ER_P2,2021-04-20,TX_CURR_TPT_Not_Comp_POS_Screen,8,Recent Pos TB Screen
ARIEL,Cabo Delgado,Ancuabe,Metoro CS III,CoySgwRgeRE,1020209,ER_P2,2021-04-20,TX_CURR_W_TPT_last7Mo,415,Actively on TPT
ARIEL,Cabo Delgado,Ancuabe,Metoro CS III,CoySgwRgeRE,1020209,ER_P2,2021-04-20,TX_CURTot,2255,TX_CURR
ARIEL,Cabo Delgado,Ancuabe,Metoro CS III,CoySgwRgeRE,1020209,ER_P2,2021-04-20,TPT_candidates,1205,TPT Candidates
ARIEL,Cabo Delgado,Ancuabe,Metoro CS III,CoySgwRgeRE,1020209,ER_P2,2021-04-20,TPT_ineligible,61,TPT Ineligible
ARIEL,Cabo Delgado,Ancuabe,Meza CS III,zlG1VmpE6QQ,1020210,ER_P2,2021-04-20,TX_CURR_TPT_Com,168,TPT Completed
ARIEL,Cabo Delgado,Ancuabe,Meza CS III,zlG1VmpE6QQ,1020210,ER_P2,2021-04-20,TX_CURR_TB_tto,21,Recent Active TB TX
ARIEL,Cabo Delgado,Ancuabe,Meza CS III,zlG1VmpE6QQ,1020210,ER_P2,2021-04-20,TX_CURR_TPT_Not_Comp_POS_Screen,4,Recent Pos TB Screen
ARIEL,Cabo Delgado,Ancuabe,Meza CS III,zlG1VmpE6QQ,1020210,ER_P2,2021-04-20,TX_CURR_W_TPT_last7Mo,145,Actively on TPT
ARIEL,Cabo Delgado,Ancuabe,Meza CS III,zlG1VmpE6QQ,1020210,ER_P2,2021-04-20,TX_CURTot,1026,TX_CURR
ARIEL,Cabo Delgado,Ancuabe,Meza CS III,zlG1VmpE6QQ,1020210,ER_P2,2021-04-20,TPT_candidates,688,TPT Candidates
ARIEL,Cabo Delgado,Ancuabe,Meza CS III,zlG1VmpE6QQ,1020210,ER_P2,2021-04-20,TPT_ineligible,25,TPT Ineligible
ARIEL,Cabo Delgado,Ancuabe,Ntutupue CS,j2k93SJevE1,1020208,ER_P2,2021-04-20,TX_CURR_TPT_Com,114,TPT Completed
ARIEL,Cabo Delgado,Ancuabe,Ntutupue CS,j2k93SJevE1,1020208,ER_P2,2021-04-20,TX_CURR_TB_tto,9,Recent Active TB TX
ARIEL,Cabo Delgado,Ancuabe,Ntutupue CS,j2k93SJevE1,1020208,ER_P2,2021-04-20,TX_CURR_TPT_Not_Comp_POS_Screen,5,Recent Pos TB Screen
ARIEL,Cabo Delgado,Ancuabe,Ntutupue CS,j2k93SJevE1,1020208,ER_P2,2021-04-20,TX_CURR_W_TPT_last7Mo,146,Actively on TPT
ARIEL,Cabo Delgado,Ancuabe,Ntutupue CS,j2k93SJevE1,1020208,ER_P2,2021-04-20,TX_CURTot,881,TX_CURR
ARIEL,Cabo Delgado,Ancuabe,Ntutupue CS,j2k93SJevE1,1020208,ER_P2,2021-04-20,TPT_candidates,607,TPT Candidates
ARIEL,Cabo Delgado,Ancuabe,Ntutupue CS,j2k93SJevE1,1020208,ER_P2,2021-04-20,TPT_ineligible,14,TPT Ineligible
ARIEL,Cabo Delgado,Balama,Balama CS II,mDNJnXJ3Bap,1020306,ER_P2,2021-04-20,TX_CURR_TPT_Com,476,TPT Completed
