Partner	Province	District	Health Facility	DATIM_code	SISMA_code	Type	Period	attribute	value	indicator	Lat	Long	emr	epts	idart	disa	em_wave	conflict	corridor	ovc	ycm	pmtct_pda
ARIEL	Cabo Delgado	Ancuabe	Ancuabe CS I	TzPwGs1AcCL	1020206	ER_P2	2021-03-20	TX_CURR_TPT_Com	430	TPT Completed	-12.9669	39.8572	1	1	0	1	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Ancuabe CS I	TzPwGs1AcCL	1020206	ER_P2	2021-03-20	TX_CURR_TB_tto	25	Recent Active TB TX	-12.9669	39.8572	1	1	0	1	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Ancuabe CS I	TzPwGs1AcCL	1020206	ER_P2	2021-03-20	TX_CURR_TPT_Not_Comp_POS_Screen	9	Recent Pos TB Screen	-12.9669	39.8572	1	1	0	1	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Ancuabe CS I	TzPwGs1AcCL	1020206	ER_P2	2021-03-20	TX_CURR_W_TPT_last7Mo	284	Actively on TPT	-12.9669	39.8572	1	1	0	1	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Ancuabe CS I	TzPwGs1AcCL	1020206	ER_P2	2021-03-20	TX_CURTot	1647	TX_CURR	-12.9669	39.8572	1	1	0	1	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Ancuabe CS I	TzPwGs1AcCL	1020206	ER_P2	2021-03-20	TPT_candidates	899	TPT Candidates	-12.9669	39.8572	1	1	0	1	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Ancuabe CS I	TzPwGs1AcCL	1020206	ER_P2	2021-03-20	TPT_ineligible	34	TPT Ineligible	-12.9669	39.8572	1	1	0	1	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Mariri PS	qHaaYvuNGIB	1020207	ER_P3	2021-03-20	TX_CURR_TPT_Com	153	TPT Completed	-13.09155	39.59319	1	1	0	0	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Mariri PS	qHaaYvuNGIB	1020207	ER_P3	2021-03-20	TX_CURR_TB_tto	8	Recent Active TB TX	-13.09155	39.59319	1	1	0	0	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Mariri PS	qHaaYvuNGIB	1020207	ER_P3	2021-03-20	TX_CURR_TPT_Not_Comp_POS_Screen	1	Recent Pos TB Screen	-13.09155	39.59319	1	1	0	0	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Mariri PS	qHaaYvuNGIB	1020207	ER_P3	2021-03-20	TX_CURR_W_TPT_last7Mo	118	Actively on TPT	-13.09155	39.59319	1	1	0	0	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Mariri PS	qHaaYvuNGIB	1020207	ER_P3	2021-03-20	TX_CURTot	781	TX_CURR	-13.09155	39.59319	1	1	0	0	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Mariri PS	qHaaYvuNGIB	1020207	ER_P3	2021-03-20	TPT_candidates	501	TPT Candidates	-13.09155	39.59319	1	1	0	0	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Mariri PS	qHaaYvuNGIB	1020207	ER_P3	2021-03-20	TPT_ineligible	9	TPT Ineligible	-13.09155	39.59319	1	1	0	0	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Metoro CS III	CoySgwRgeRE	1020209	ER_P2	2021-03-20	TX_CURR_TPT_Com	565	TPT Completed	-13.10483	39.87392	1	1	0	1	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Metoro CS III	CoySgwRgeRE	1020209	ER_P2	2021-03-20	TX_CURR_TB_tto	50	Recent Active TB TX	-13.10483	39.87392	1	1	0	1	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Metoro CS III	CoySgwRgeRE	1020209	ER_P2	2021-03-20	TX_CURR_TPT_Not_Comp_POS_Screen	8	Recent Pos TB Screen	-13.10483	39.87392	1	1	0	1	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Metoro CS III	CoySgwRgeRE	1020209	ER_P2	2021-03-20	TX_CURR_W_TPT_last7Mo	367	Actively on TPT	-13.10483	39.87392	1	1	0	1	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Metoro CS III	CoySgwRgeRE	1020209	ER_P2	2021-03-20	TX_CURTot	2233	TX_CURR	-13.10483	39.87392	1	1	0	1	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Metoro CS III	CoySgwRgeRE	1020209	ER_P2	2021-03-20	TPT_candidates	1243	TPT Candidates	-13.10483	39.87392	1	1	0	1	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Metoro CS III	CoySgwRgeRE	1020209	ER_P2	2021-03-20	TPT_ineligible	58	TPT Ineligible	-13.10483	39.87392	1	1	0	1	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Meza CS III	zlG1VmpE6QQ	1020210	ER_P2	2021-03-20	TX_CURR_TPT_Com	171	TPT Completed	-13.03205	39.55228	1	1	0	0	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Meza CS III	zlG1VmpE6QQ	1020210	ER_P2	2021-03-20	TX_CURR_TB_tto	20	Recent Active TB TX	-13.03205	39.55228	1	1	0	0	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Meza CS III	zlG1VmpE6QQ	1020210	ER_P2	2021-03-20	TX_CURR_TPT_Not_Comp_POS_Screen	5	Recent Pos TB Screen	-13.03205	39.55228	1	1	0	0	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Meza CS III	zlG1VmpE6QQ	1020210	ER_P2	2021-03-20	TX_CURR_W_TPT_last7Mo	125	Actively on TPT	-13.03205	39.55228	1	1	0	0	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Meza CS III	zlG1VmpE6QQ	1020210	ER_P2	2021-03-20	TX_CURTot	1009	TX_CURR	-13.03205	39.55228	1	1	0	0	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Meza CS III	zlG1VmpE6QQ	1020210	ER_P2	2021-03-20	TPT_candidates	688	TPT Candidates	-13.03205	39.55228	1	1	0	0	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Meza CS III	zlG1VmpE6QQ	1020210	ER_P2	2021-03-20	TPT_ineligible	25	TPT Ineligible	-13.03205	39.55228	1	1	0	0	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Ntutupue CS	j2k93SJevE1	1020208	ER_P2	2021-03-20	TX_CURR_TPT_Com	117	TPT Completed	-13.13993	40.05612	1	1	0	0	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Ntutupue CS	j2k93SJevE1	1020208	ER_P2	2021-03-20	TX_CURR_TB_tto	8	Recent Active TB TX	-13.13993	40.05612	1	1	0	0	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Ntutupue CS	j2k93SJevE1	1020208	ER_P2	2021-03-20	TX_CURR_TPT_Not_Comp_POS_Screen	0	Recent Pos TB Screen	-13.13993	40.05612	1	1	0	0	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Ntutupue CS	j2k93SJevE1	1020208	ER_P2	2021-03-20	TX_CURR_W_TPT_last7Mo	132	Actively on TPT	-13.13993	40.05612	1	1	0	0	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Ntutupue CS	j2k93SJevE1	1020208	ER_P2	2021-03-20	TX_CURTot	865	TX_CURR	-13.13993	40.05612	1	1	0	0	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Ntutupue CS	j2k93SJevE1	1020208	ER_P2	2021-03-20	TPT_candidates	608	TPT Candidates	-13.13993	40.05612	1	1	0	0	0	0	0	0	0	0
ARIEL	Cabo Delgado	Ancuabe	Ntutupue CS	j2k93SJevE1	1020208	ER_P2	2021-03-20	TPT_ineligible	8	TPT Ineligible	-13.13993	40.05612	1	1	0	0	0	0	0	0	0	0
ARIEL	Cabo Delgado	Balama	Balama CS II	mDNJnXJ3Bap	1020306	ER_P2	2021-03-20	TX_CURR_TPT_Com	460	TPT Completed	-13.34842	38.56694	1	1	0	1	0	0	0	0	0	0
ARIEL	Cabo Delgado	Balama	Balama CS II	mDNJnXJ3Bap	1020306	ER_P2	2021-03-20	TX_CURR_TB_tto	28	Recent Active TB TX	-13.34842	38.56694	1	1	0	1	0	0	0	0	0	0
ARIEL	Cabo Delgado	Balama	Balama CS II	mDNJnXJ3Bap	1020306	ER_P2	2021-03-20	TX_CURR_TPT_Not_Comp_POS_Screen	4	Recent Pos TB Screen	-13.34842	38.56694	1	1	0	1	0	0	0	0	0	0
ARIEL	Cabo Delgado	Balama	Balama CS II	mDNJnXJ3Bap	1020306	ER_P2	2021-03-20	TX_CURR_W_TPT_last7Mo	171	Actively on TPT	-13.34842	38.56694	1	1	0	1	0	0	0	0	0	0
ARIEL	Cabo Delgado	Balama	Balama CS II	mDNJnXJ3Bap	1020306	ER_P2	2021-03-20	TX_CURTot	1268	TX_CURR	-13.34842	38.56694	1	1	0	1	0	0	0	0	0	0
ARIEL	Cabo Delgado	Balama	Balama CS II	mDNJnXJ3Bap	1020306	ER_P2	2021-03-20	TPT_candidates	605	TPT Candidates	-13.34842	38.56694	1	1	0	1	0	0	0	0	0	0
ARIEL	Cabo Delgado	Balama	Balama CS II	mDNJnXJ3Bap	1020306	ER_P2	2021-03-20	TPT_ineligible	32	TPT Ineligible	-13.34842	38.56694	1	1	0	1	0	0	0	0	0	0
ARIEL	Cabo Delgado	Chiure	Chiúre CS I	m8FGZ1tP0UE	1020406	ER_P2	2021-03-20	TX_CURR_TPT_Com	2183	TPT Completed	-13.38267	39.78189	1	1	1	1	0	0	0	0	0	0
ARIEL	Cabo Delgado	Chiure	Chiúre CS I	m8FGZ1tP0UE	1020406	ER_P2	2021-03-20	TX_CURR_TB_tto	117	Recent Active TB TX	-13.38267	39.78189	1	1	1	1	0	0	0	0	0	0
ARIEL	Cabo Delgado	Chiure	Chiúre CS I	m8FGZ1tP0UE	1020406	ER_P2	2021-03-20	TX_CURR_TPT_Not_Comp_POS_Screen	23	Recent Pos TB Screen	-13.38267	39.78189	1	1	1	1	0	0	0	0	0	0
ARIEL	Cabo Delgado	Chiure	Chiúre CS I	m8FGZ1tP0UE	1020406	ER_P2	2021-03-20	TX_CURR_W_TPT_last7Mo	1492	Actively on TPT	-13.38267	39.78189	1	1	1	1	0	0	0	0	0	0
ARIEL	Cabo Delgado	Chiure	Chiúre CS I	m8FGZ1tP0UE	1020406	ER_P2	2021-03-20	TX_CURTot	7246	TX_CURR	-13.38267	39.78189	1	1	1	1	0	0	0	0	0	0
ARIEL	Cabo Delgado	Chiure	Chiúre CS I	m8FGZ1tP0UE	1020406	ER_P2	2021-03-20	TPT_candidates	3431	TPT Candidates	-13.38267	39.78189	1	1	1	1	0	0	0	0	0	0
ARIEL	Cabo Delgado	Chiure	Chiúre CS I	m8FGZ1tP0UE	1020406	ER_P2	2021-03-20	TPT_ineligible	140	TPT Ineligible	-13.38267	39.78189	1	1	1	1	0	0	0	0	0	0
ARIEL	Cabo Delgado	Chiure	Chiúre-Velho CS II	tMpwPcDzIfU	1020407	ER_P3	2021-03-20	TX_CURR_TPT_Com	161	TPT Completed	-13.37291	39.96772	1	1	0	0	0	0	0	0	0	0
ARIEL	Cabo Delgado	Chiure	Chiúre-Velho CS II	tMpwPcDzIfU	1020407	ER_P3	2021-03-20	TX_CURR_TB_tto	13	Recent Active TB TX	-13.37291	39.96772	1	1	0	0	0	0	0	0	0	0
ARIEL	Cabo Delgado	Chiure	Chiúre-Velho CS II	tMpwPcDzIfU	1020407	ER_P3	2021-03-20	TX_CURR_TPT_Not_Comp_POS_Screen	1	Recent Pos TB Screen	-13.37291	39.96772	1	1	0	0	0	0	0	0	0	0
ARIEL	Cabo Delgado	Chiure	Chiúre-Velho CS II	tMpwPcDzIfU	1020407	ER_P3	2021-03-20	TX_CURR_W_TPT_last7Mo	68	Actively on TPT	-13.37291	39.96772	1	1	0	0	0	0	0	0	0	0
ARIEL	Cabo Delgado	Chiure	Chiúre-Velho CS II	tMpwPcDzIfU	1020407	ER_P3	2021-03-20	TX_CURTot	621	TX_CURR	-13.37291	39.96772	1	1	0	0	0	0	0	0	0	0
