Partner	Province	District	Health Facility	DATIM_code	SISMA_code	Type	Period	attribute	value	indicator
ARIEL	Cabo Delgado	Ancuabe	Ancuabe CS I	TzPwGs1AcCL	1020206	ER_P2	2021-03-20	TX_CURR_TPT_Com	430	TPT Completed
ARIEL	Cabo Delgado	Ancuabe	Ancuabe CS I	TzPwGs1AcCL	1020206	ER_P2	2021-03-20	TX_CURR_TB_tto	25	Recent Active TB TX
ARIEL	Cabo Delgado	Ancuabe	Ancuabe CS I	TzPwGs1AcCL	1020206	ER_P2	2021-03-20	TX_CURR_TPT_Not_Comp_POS_Screen	9	Recent Pos TB Screen
ARIEL	Cabo Delgado	Ancuabe	Ancuabe CS I	TzPwGs1AcCL	1020206	ER_P2	2021-03-20	TX_CURR_W_TPT_last7Mo	284	Actively on TPT
ARIEL	Cabo Delgado	Ancuabe	Ancuabe CS I	TzPwGs1AcCL	1020206	ER_P2	2021-03-20	TX_CURTot	1647	TX_CURR
ARIEL	Cabo Delgado	Ancuabe	Ancuabe CS I	TzPwGs1AcCL	1020206	ER_P2	2021-03-20	TPT_candidates	899	TPT Candidates
ARIEL	Cabo Delgado	Ancuabe	Ancuabe CS I	TzPwGs1AcCL	1020206	ER_P2	2021-03-20	TPT_ineligible	34	TPT Ineligible
ARIEL	Cabo Delgado	Ancuabe	Mariri PS	qHaaYvuNGIB	1020207	ER_P3	2021-03-20	TX_CURR_TPT_Com	153	TPT Completed
ARIEL	Cabo Delgado	Ancuabe	Mariri PS	qHaaYvuNGIB	1020207	ER_P3	2021-03-20	TX_CURR_TB_tto	8	Recent Active TB TX
ARIEL	Cabo Delgado	Ancuabe	Mariri PS	qHaaYvuNGIB	1020207	ER_P3	2021-03-20	TX_CURR_TPT_Not_Comp_POS_Screen	1	Recent Pos TB Screen
ARIEL	Cabo Delgado	Ancuabe	Mariri PS	qHaaYvuNGIB	1020207	ER_P3	2021-03-20	TX_CURR_W_TPT_last7Mo	118	Actively on TPT
ARIEL	Cabo Delgado	Ancuabe	Mariri PS	qHaaYvuNGIB	1020207	ER_P3	2021-03-20	TX_CURTot	781	TX_CURR
ARIEL	Cabo Delgado	Ancuabe	Mariri PS	qHaaYvuNGIB	1020207	ER_P3	2021-03-20	TPT_candidates	501	TPT Candidates
ARIEL	Cabo Delgado	Ancuabe	Mariri PS	qHaaYvuNGIB	1020207	ER_P3	2021-03-20	TPT_ineligible	9	TPT Ineligible
ARIEL	Cabo Delgado	Ancuabe	Metoro CS III	CoySgwRgeRE	1020209	ER_P2	2021-03-20	TX_CURR_TPT_Com	565	TPT Completed
ARIEL	Cabo Delgado	Ancuabe	Metoro CS III	CoySgwRgeRE	1020209	ER_P2	2021-03-20	TX_CURR_TB_tto	50	Recent Active TB TX
ARIEL	Cabo Delgado	Ancuabe	Metoro CS III	CoySgwRgeRE	1020209	ER_P2	2021-03-20	TX_CURR_TPT_Not_Comp_POS_Screen	8	Recent Pos TB Screen
ARIEL	Cabo Delgado	Ancuabe	Metoro CS III	CoySgwRgeRE	1020209	ER_P2	2021-03-20	TX_CURR_W_TPT_last7Mo	367	Actively on TPT
