population	age	period	sisma_id	snu	psnu	sitename	lat	long	site_nid	clinical_ip	TX_NEW	TX_CURR	TX_PVLS_D	TX_PVLS_N	TX_RET_D	TX_RET_N
Total		2021-09-01	cQGzy7ez571	Manica	Barue	Catandica HD	-18.05454	33.17094	1060215	ECHO	131	4603	257	234	153	147
PID	15-19	2021-09-01	cQGzy7ez571	Manica	Barue	Catandica HD	-18.05454	33.17094	1060215	ECHO	0	0	0	0	0	0
PID	20-24	2021-09-01	cQGzy7ez571	Manica	Barue	Catandica HD	-18.05454	33.17094	1060215	ECHO	0	0	0	0	0	0
PID	25+	2021-09-01	cQGzy7ez571	Manica	Barue	Catandica HD	-18.05454	33.17094	1060215	ECHO	0	0	0	0	0	0
HSH	15-19	2021-09-01	cQGzy7ez571	Manica	Barue	Catandica HD	-18.05454	33.17094	1060215	ECHO	0	0	0	0	0	0
HSH	20-24	2021-09-01	cQGzy7ez571	Manica	Barue	Catandica HD	-18.05454	33.17094	1060215	ECHO	0	0	0	0	0	0
HSH	25+	2021-09-01	cQGzy7ez571	Manica	Barue	Catandica HD	-18.05454	33.17094	1060215	ECHO	0	0	0	0	0	0
MTS	15-19	2021-09-01	cQGzy7ez571	Manica	Barue	Catandica HD	-18.05454	33.17094	1060215	ECHO	0	1	0	0	0	0
MTS	20-24	2021-09-01	cQGzy7ez571	Manica	Barue	Catandica HD	-18.05454	33.17094	1060215	ECHO	0	9	0	0	0	0
MTS	25+	2021-09-01	cQGzy7ez571	Manica	Barue	Catandica HD	-18.05454	33.17094	1060215	ECHO	0	10	0	0	2	2
REC	15-19	2021-09-01	cQGzy7ez571	Manica	Barue	Catandica HD	-18.05454	33.17094	1060215	ECHO	0	0	0	0	0	0
REC	20-24	2021-09-01	cQGzy7ez571	Manica	Barue	Catandica HD	-18.05454	33.17094	1060215	ECHO	0	0	0	0	0	0
REC	25+	2021-09-01	cQGzy7ez571	Manica	Barue	Catandica HD	-18.05454	33.17094	1060215	ECHO	0	0	0	0	0	0
Total		2021-09-01	yZ2DkwwDjTE	Manica	Barue	Chuala CS	-18.40718	33.24046	1060216	ECHO	42	374	36	29	32	22
PID	15-19	2021-09-01	yZ2DkwwDjTE	Manica	Barue	Chuala CS	-18.40718	33.24046	1060216	ECHO	0	0	0	0	0	0
PID	20-24	2021-09-01	yZ2DkwwDjTE	Manica	Barue	Chuala CS	-18.40718	33.24046	1060216	ECHO	0	0	0	0	0	0
PID	25+	2021-09-01	yZ2DkwwDjTE	Manica	Barue	Chuala CS	-18.40718	33.24046	1060216	ECHO	0	0	0	0	0	0
HSH	15-19	2021-09-01	yZ2DkwwDjTE	Manica	Barue	Chuala CS	-18.40718	33.24046	1060216	ECHO	0	0	0	0	0	0
HSH	20-24	2021-09-01	yZ2DkwwDjTE	Manica	Barue	Chuala CS	-18.40718	33.24046	1060216	ECHO	0	0	0	0	0	0
HSH	25+	2021-09-01	yZ2DkwwDjTE	Manica	Barue	Chuala CS	-18.40718	33.24046	1060216	ECHO	0	0	0	0	0	0
MTS	15-19	2021-09-01	yZ2DkwwDjTE	Manica	Barue	Chuala CS	-18.40718	33.24046	1060216	ECHO	0	0	0	0	0	0
MTS	20-24	2021-09-01	yZ2DkwwDjTE	Manica	Barue	Chuala CS	-18.40718	33.24046	1060216	ECHO	0	0	0	0	0	0
MTS	25+	2021-09-01	yZ2DkwwDjTE	Manica	Barue	Chuala CS	-18.40718	33.24046	1060216	ECHO	0	0	0	0	0	0
REC	15-19	2021-09-01	yZ2DkwwDjTE	Manica	Barue	Chuala CS	-18.40718	33.24046	1060216	ECHO	0	0	0	0	0	0
REC	20-24	2021-09-01	yZ2DkwwDjTE	Manica	Barue	Chuala CS	-18.40718	33.24046	1060216	ECHO	0	0	0	0	0	0
REC	25+	2021-09-01	yZ2DkwwDjTE	Manica	Barue	Chuala CS	-18.40718	33.24046	1060216	ECHO	0	0	0	0	0	0
Total		2021-09-01	sojvZgmkmY5	Manica	Barue	Cruz de Macossa CS	-17.72235	33.25361	1060206	ECHO	34	690	144	131	73	72
PID	15-19	2021-09-01	sojvZgmkmY5	Manica	Barue	Cruz de Macossa CS	-17.72235	33.25361	1060206	ECHO	0	0	0	0	0	0
PID	20-24	2021-09-01	sojvZgmkmY5	Manica	Barue	Cruz de Macossa CS	-17.72235	33.25361	1060206	ECHO	0	0	0	0	0	0
PID	25+	2021-09-01	sojvZgmkmY5	Manica	Barue	Cruz de Macossa CS	-17.72235	33.25361	1060206	ECHO	0	0	0	0	0	0
HSH	15-19	2021-09-01	sojvZgmkmY5	Manica	Barue	Cruz de Macossa CS	-17.72235	33.25361	1060206	ECHO	0	0	0	0	0	0
HSH	20-24	2021-09-01	sojvZgmkmY5	Manica	Barue	Cruz de Macossa CS	-17.72235	33.25361	1060206	ECHO	0	0	0	0	0	0
HSH	25+	2021-09-01	sojvZgmkmY5	Manica	Barue	Cruz de Macossa CS	-17.72235	33.25361	1060206	ECHO	0	0	0	0	0	0
MTS	15-19	2021-09-01	sojvZgmkmY5	Manica	Barue	Cruz de Macossa CS	-17.72235	33.25361	1060206	ECHO	0	0	0	0	0	0
MTS	20-24	2021-09-01	sojvZgmkmY5	Manica	Barue	Cruz de Macossa CS	-17.72235	33.25361	1060206	ECHO	0	3	1	1	1	1
MTS	25+	2021-09-01	sojvZgmkmY5	Manica	Barue	Cruz de Macossa CS	-17.72235	33.25361	1060206	ECHO	1	3	0	0	0	0
REC	15-19	2021-09-01	sojvZgmkmY5	Manica	Barue	Cruz de Macossa CS	-17.72235	33.25361	1060206	ECHO	0	0	0	0	0	0
REC	20-24	2021-09-01	sojvZgmkmY5	Manica	Barue	Cruz de Macossa CS	-17.72235	33.25361	1060206	ECHO	0	0	0	0	0	0
REC	25+	2021-09-01	sojvZgmkmY5	Manica	Barue	Cruz de Macossa CS	-17.72235	33.25361	1060206	ECHO	0	0	0	0	0	0
Total		2021-09-01	CQuZCqsENQC	Manica	Barue	Honde CS	-18.32491	33.2022	1060208	ECHO	57	757	86	74	34	33
PID	15-19	2021-09-01	CQuZCqsENQC	Manica	Barue	Honde CS	-18.32491	33.2022	1060208	ECHO	0	0	0	0	0	0
PID	20-24	2021-09-01	CQuZCqsENQC	Manica	Barue	Honde CS	-18.32491	33.2022	1060208	ECHO	0	0	0	0	0	0
PID	25+	2021-09-01	CQuZCqsENQC	Manica	Barue	Honde CS	-18.32491	33.2022	1060208	ECHO	0	0	0	0	0	0
HSH	15-19	2021-09-01	CQuZCqsENQC	Manica	Barue	Honde CS	-18.32491	33.2022	1060208	ECHO	0	0	0	0	0	0
HSH	20-24	2021-09-01	CQuZCqsENQC	Manica	Barue	Honde CS	-18.32491	33.2022	1060208	ECHO	0	0	0	0	0	0
HSH	25+	2021-09-01	CQuZCqsENQC	Manica	Barue	Honde CS	-18.32491	33.2022	1060208	ECHO	0	0	0	0	0	0
MTS	15-19	2021-09-01	CQuZCqsENQC	Manica	Barue	Honde CS	-18.32491	33.2022	1060208	ECHO	0	0	0	0	0	0
MTS	20-24	2021-09-01	CQuZCqsENQC	Manica	Barue	Honde CS	-18.32491	33.2022	1060208	ECHO	0	0	0	0	0	0
MTS	25+	2021-09-01	CQuZCqsENQC	Manica	Barue	Honde CS	-18.32491	33.2022	1060208	ECHO	0	0	0	0	0	0
REC	15-19	2021-09-01	CQuZCqsENQC	Manica	Barue	Honde CS	-18.32491	33.2022	1060208	ECHO	0	0	0	0	0	0
REC	20-24	2021-09-01	CQuZCqsENQC	Manica	Barue	Honde CS	-18.32491	33.2022	1060208	ECHO	0	0	0	0	0	0
REC	25+	2021-09-01	CQuZCqsENQC	Manica	Barue	Honde CS	-18.32491	33.2022	1060208	ECHO	0	0	0	0	0	0
Total		2021-09-01	zEFdD2qLo6T	Manica	Barue	Nhampassa CS	-17.79774	33.21937	1060210	ECHO	66	1073	61	61	79	77
PID	15-19	2021-09-01	zEFdD2qLo6T	Manica	Barue	Nhampassa CS	-17.79774	33.21937	1060210	ECHO	0	0	0	0	0	0
PID	20-24	2021-09-01	zEFdD2qLo6T	Manica	Barue	Nhampassa CS	-17.79774	33.21937	1060210	ECHO	0	0	0	0	0	0
PID	25+	2021-09-01	zEFdD2qLo6T	Manica	Barue	Nhampassa CS	-17.79774	33.21937	1060210	ECHO	0	0	0	0	0	0
