IndicatorType	reportingperiod	orgunit	orgnunituid	mech_code	partner	operatingunit	psnu	indicator	sex	age	population	otherdisaggregate	numdenom	val
Custom	FY21 Q3	Alto Molocue	SnbIkc5HFdC	18280	FHI360	Mozambique	Alto Molocue	PrEP_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	15
Custom	FY21 Q3	Alto Molocue	SnbIkc5HFdC	18280	FHI360	Mozambique	Alto Molocue	PrEP_SCREEN			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	15
Custom	FY21 Q3	Alto Molocue	SnbIkc5HFdC	18280	FHI360	Mozambique	Alto Molocue	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	30
Custom	FY21 Q3	Ancuabe	e29LLJAHdD1	18280	FHI360	Mozambique	Ancuabe	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	14
Custom	FY21 Q3	Beira	c4qdq9NbKuX	18280	FHI360	Mozambique	Beira	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	52
Custom	FY21 Q3	Beira	c4qdq9NbKuX	18280	FHI360	Mozambique	Beira	TX_NEW_VERIFY			Men who have sex with men (MSM)	Site Support Type: PEPFAR supported	Numerator	42
Custom	FY21 Q3	Beira	c4qdq9NbKuX	18280	FHI360	Mozambique	Beira	TX_NEW_VERIFY			People in prisons and other closed settings	Site Support Type: PEPFAR supported	Numerator	2
Custom	FY21 Q3	Bilene	kZU2LRwlrWA	18280	FHI360	Mozambique	Bilene	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	13
Custom	FY21 Q3	Boane	KipLfqm48wI	18280	FHI360	Mozambique	Boane	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	5
Custom	FY21 Q3	Changara	vJOqqNfY8zQ	18280	FHI360	Mozambique	Changara	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	11
Custom	FY21 Q3	Chiure	xamxMtXf90S	18280	FHI360	Mozambique	Chiure	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	11
